iter	MAE
117	0.3080954462
118	0.3078308098
119	0.3075494061
120	0.3073098596
121	0.3070584324
122	0.3068895681
123	0.3066329544
124	0.3062973141
125	0.3060988863
126	0.3058761653
127	0.3056235575
128	0.3053883113
129	0.3051209769
130	0.3048638086
131	0.3045489982
132	0.3042109539
133	0.3040779959
134	0.303802352
135	0.3034478979
136	0.3031699656
137	0.3029635871
138	0.3028252988
139	0.3025939457
140	0.3023064875
141	0.3021020313
142	0.30191885
143	0.3017568907
144	0.3015196199
145	0.3014950878
146	0.3011444822
147	0.3010005675
148	0.3008171126
149	0.3005320265
150	0.300295634
151	0.3000047991
152	0.2998266744
153	0.2996359122
154	0.2994260705
155	0.2991134443
156	0.2989306343
157	0.2986453936
158	0.2983733074
159	0.298145437
160	0.2979401171
161	0.2975872207
162	0.2974023737
163	0.2971053296
164	0.2969230526
165	0.2968216505
166	0.2965854802
167	0.2964940875
168	0.296273215
169	0.2961038406
170	0.2959472401
171	0.2958110239
172	0.2956358336
173	0.2954455938
174	0.2952905421
175	0.2948908888
176	0.2946000315
177	0.2944402524
178	0.2942002996
179	0.2939138347
180	0.2937890211
181	0.2936138297
182	0.2934694664
183	0.2932293729
184	0.2931252674
185	0.292944276
186	0.2927011903
187	0.2925259125
188	0.2923143654
189	0.2919173835
190	0.2916983784
191	0.2915459771
192	0.2913288182
193	0.290998765
194	0.2908329592
195	0.2906786429
196	0.2904682019
197	0.2901221421
198	0.2899114607
199	0.2897075616
200	0.2894989549
201	0.2892012026
202	0.2890656873
203	0.2889208376
204	0.2887041769
205	0.2885116707
206	0.2883724121
207	0.2882126013
208	0.2880390216
209	0.2879214837
210	0.2877545728
211	0.2876349765
212	0.2874677852
213	0.2873559866
214	0.2872624883
215	0.2870658487
216	0.2868653719
217	0.2866165662
218	0.2863301005
219	0.2862160806
220	0.2859679356
221	0.2857876285
222	0.2856156335
223	0.2854772607
224	0.2852298353
225	0.2851541858
226	0.2849517541
227	0.2847455736
228	0.2844036518
229	0.2842892114
230	0.2840446387
231	0.2838223573
232	0.2836262485
233	0.2833893896
234	0.2832583598
235	0.2829888673
236	0.2827963907
237	0.2825337969
238	0.2823378292
239	0.28214901
240	0.2820624825
241	0.2818792089
242	0.2817280733
243	0.281533696
244	0.2813922787
245	0.2812484672
246	0.2810265624
247	0.2808077685
248	0.280748076
249	0.2806827908
250	0.280535342
251	0.2803556493
252	0.2801723967
253	0.2799844904
254	0.2798342384
255	0.2796800543
256	0.2796108446
257	0.2794536929
258	0.2792891785
259	0.2790597843
260	0.2789247383
261	0.2787060959
262	0.278447973
263	0.2782402463
264	0.2778870309
265	0.2777321902
266	0.2775380859
267	0.2772875242
268	0.2770785479
269	0.2769022239
270	0.2767877024
271	0.2766393164
272	0.2763893614
273	0.2761209387
274	0.2759653654
275	0.2758339738
276	0.2756979722
277	0.2755454378
278	0.2754375625
279	0.2752536731
280	0.2750882261
281	0.2749297389
282	0.2748742611
283	0.2746953205
284	0.2745379641
285	0.2744011385
286	0.2742828587
287	0.2741262694
288	0.2740626325
289	0.2737501759
290	0.2736751111
291	0.2735167533
292	0.2734229868
293	0.273263557
294	0.2731472668
295	0.2729446113
296	0.2728110267
297	0.272659545
298	0.2725957681
299	0.2724744181
300	0.2722171367
301	0.2720461195
302	0.2719125288
303	0.2716084119
304	0.2713977169
305	0.2712676511
306	0.2711651094
307	0.2710587526
308	0.2708791763
309	0.2708086733
310	0.2704918824
311	0.2701494519
312	0.2699576382
313	0.2696639858
314	0.2695194729
315	0.2693604593
316	0.2691947136
317	0.2688916018
318	0.2686097277
319	0.2683756673
320	0.2682892389
321	0.268160071
322	0.2680215348
323	0.2679314279
324	0.2677940505
325	0.2676729823
326	0.267637152
327	0.2674894545
328	0.2672919533
329	0.2670908786
330	0.2669419285
331	0.2667582805
332	0.2666139584
333	0.2664241294
334	0.2663183289
335	0.2661676117
336	0.2659715174
337	0.2657918997
338	0.2656009548
339	0.2653986482
340	0.2652412544
341	0.2650508158
342	0.2648301209
343	0.264773471
344	0.2647360998
345	0.2645947074
346	0.2643611657
347	0.2642062803
348	0.2640067621
349	0.2638228513
350	0.2635535654
351	0.2633282531
352	0.2631244104
353	0.2628329907
354	0.2627409503
355	0.2626258212
356	0.2624736327
357	0.2623412702
358	0.2621194592
359	0.2620661974
360	0.2618044524
361	0.2615323453
362	0.2614868728
363	0.261181647
364	0.2610903772
365	0.2609489304
366	0.2608437229
367	0.2606870392
368	0.2605283712
369	0.2603276468
370	0.2601661478
371	0.2599872761
372	0.2598854644
373	0.2597802791
374	0.2595990936
375	0.2594271299
376	0.259263756
377	0.259144782
378	0.2589303162
379	0.2587778881
380	0.2586959273
381	0.2585768797
382	0.2584122693
383	0.2583269263
384	0.2581282464
385	0.258048997
386	0.2579614277
387	0.2578637162
388	0.2577354203
389	0.2575199935
390	0.2573488117
391	0.257238317
392	0.2569864456
393	0.2568567805
394	0.2567382929
395	0.2564554679
396	0.2562034086
397	0.2560557732
398	0.2559815575
399	0.2558617717
400	0.2556714026
401	0.2556434023
402	0.2553887915
403	0.2552778299
404	0.2551113511
405	0.2548494871
406	0.2547446057
407	0.2546259438
408	0.2544691506
409	0.254288811
410	0.2542633739
411	0.2541875555
412	0.2539642562
413	0.2538285699
414	0.2537931785
415	0.2536388095
416	0.2534565237
417	0.2532286592
418	0.253105116
419	0.252986341
420	0.2528815199
421	0.252680204
422	0.2524963862
423	0.2523426812
424	0.2521402156
425	0.2519898913
426	0.2518245105
427	0.2517269191
428	0.2516094594
429	0.251445599
430	0.2513031566
431	0.2511535915
432	0.250870722
433	0.2508130716
434	0.2505429618
435	0.2504197769
436	0.2502423044
437	0.2499819709
438	0.2498856344
439	0.2498060693
440	0.2497208699
441	0.2494194071
442	0.2493378074
443	0.249152885
444	0.2489544359
445	0.2488685545
446	0.248629501
447	0.2485252041
448	0.2482670843
449	0.2481002702
450	0.2479786799
451	0.2478429265
452	0.2477523103
453	0.2475570032
454	0.2474361075
455	0.2472590626
456	0.246992184
457	0.2467279863
458	0.2465883602
459	0.246455183
460	0.2463503348
461	0.2461291794
462	0.2460722116
463	0.24601628
464	0.2458551137
465	0.2457325738
466	0.2455950159
467	0.2454377259
468	0.2453530668
469	0.2451975028
470	0.2450217608
471	0.2448284997
472	0.2446296662
473	0.2445813036
474	0.2445090761
475	0.2444359498
476	0.2442624269
477	0.2440505501
478	0.2439795894
479	0.243677628
480	0.2434434712
481	0.2433316004
482	0.2432303454
483	0.2431914369
484	0.2430517116
485	0.2429271431
486	0.2428425985
487	0.2427021891
488	0.2426366758
489	0.2425896762
490	0.2424655048
491	0.2422845298
492	0.2422251334
493	0.242144985
494	0.2420225665
495	0.2418828422
496	0.2416928118
497	0.2416082069
498	0.2414744077
499	0.2413325758
500	0.241188839
501	0.2411309937
502	0.2409536206
503	0.2408684248
504	0.2406708677
505	0.2406011305
506	0.2404922757
507	0.2403809361
508	0.2401798463
509	0.2400963317
510	0.2399304423
511	0.2398253693
512	0.2396536538
513	0.2395308389
514	0.2392726834
515	0.2391616612
516	0.2390304161
517	0.2389606084
518	0.2388035933
519	0.2386052944
520	0.2384586358
521	0.2383660727
522	0.2380041106
523	0.2378919444
524	0.2377676406
525	0.2376669004
526	0.2375118347
527	0.2374314546
528	0.2372128672
529	0.2370977384
530	0.236930931
531	0.2368244912
532	0.2366492796
533	0.2365776995
534	0.2364033304
535	0.2363148806
536	0.2362231086
537	0.2360343173
538	0.2359603143
539	0.2358311788
540	0.2355789781
541	0.2354377161
542	0.2352925563
543	0.2351944932
544	0.2351054681
545	0.234999517
546	0.2348852647
547	0.2347430328
548	0.2346974212
549	0.2345527685
550	0.2344915055
551	0.2344542672
552	0.2343072658
553	0.2340656513
554	0.2339387266
555	0.2337968574
556	0.2335953988
557	0.2334448866
558	0.2333504153
559	0.2332812861
560	0.2331537663
561	0.2330361552
562	0.2328942522
563	0.2327551745
564	0.2327131495
565	0.2326282837
566	0.2325588129
567	0.2324617689
568	0.2323227445
569	0.2321529258
570	0.2321147477
571	0.2320628672
572	0.2319151379
573	0.2318589938
574	0.2316970572
575	0.2315475721
576	0.2314204362
577	0.23128359
578	0.2311509411
579	0.230948674
580	0.2307988284
581	0.2306542418
582	0.230562007
583	0.2303974499
584	0.2303685817
585	0.2302255264
586	0.2299830085
587	0.2298136063
588	0.2296791917
589	0.2295998541
590	0.2293561736
591	0.2292915374
592	0.2291643412
593	0.2288759469
594	0.2288027903
595	0.228748389
596	0.2286555353
597	0.2285926461
598	0.2285230186
599	0.2284439278
600	0.2283544912
601	0.2283279463
602	0.2282269021
603	0.2280826456
604	0.227929302
605	0.2278904691
606	0.2277879413
607	0.2276723997
608	0.2274950542
609	0.227400431
610	0.2272520548
611	0.2271999626
612	0.2271315367
613	0.2270472367
614	0.2269222349
615	0.2267310873
616	0.2266249402
617	0.2265663417
618	0.2264844315
619	0.2263929085
620	0.2261496202
621	0.2260976071
622	0.2258975998
623	0.2257457146
624	0.2255623479
625	0.2254276628
626	0.2253765633
627	0.2253305756
628	0.2251932401
629	0.225082232
630	0.2248699436
631	0.2247950648
632	0.2246356996
633	0.2245366273
634	0.2244700155
635	0.2244276035
636	0.2243265919
637	0.2241459884
638	0.2240646123
639	0.223944861
640	0.2238059154
641	0.2237260617
642	0.2236814681
643	0.2235459723
644	0.2234836507
645	0.2233587517
646	0.2232220148
647	0.223087349
648	0.2230037127
649	0.222862682
650	0.2227798027
651	0.22269771
652	0.2225390789
653	0.2224164314
654	0.222384034
655	0.2222946302
656	0.2222198549
657	0.2221218647
658	0.2220132428
659	0.2218073077
660	0.2217646832
661	0.2217171465
662	0.221639016
663	0.2214466003
664	0.221427774
665	0.2212455089
666	0.2211654305
667	0.2210618956
668	0.2209476408
669	0.220898688
670	0.2208339257
671	0.22076597
672	0.2206571195
673	0.2206317213
674	0.2205388039
675	0.2203964983
676	0.2203375415
677	0.2203024088
678	0.2202255624
679	0.2201981482
680	0.2201036687
681	0.2199956393
682	0.2199134266
683	0.2197702752
684	0.219675518
685	0.2196265752
686	0.2194999166
687	0.2193472038
688	0.2192646222
689	0.2191874576
690	0.2191708186
691	0.219101993
692	0.2189459604
693	0.2188157745
694	0.2187358979
695	0.2186636525
696	0.2186332435
697	0.2185566304
698	0.2184512931
699	0.2183988437
700	0.2182609894
701	0.2182360836
702	0.2181018165
703	0.217939903
704	0.2177808816
705	0.2177703076
706	0.217718834
707	0.2176629665
708	0.2176338282
709	0.2175930284
710	0.2174944228
711	0.2174085122
712	0.2173666928
713	0.2171533198
714	0.2170870379
715	0.2170363379
716	0.2169785
717	0.2169071954
718	0.2167651138
719	0.2165277204
720	0.2164385093
721	0.2163550828
722	0.2162705392
723	0.216202842
724	0.2161601576
725	0.2160763409
726	0.2160150785
727	0.2159245607
728	0.215828165
729	0.2157766034
730	0.215690852
731	0.2155130367
732	0.2154307734
733	0.2153703199
734	0.2153181321
735	0.2152503135
736	0.2151475346
737	0.2151104257
738	0.2150506238
739	0.2149769762
740	0.2149285786
741	0.2148622969
742	0.214755768
743	0.2146879402
744	0.214637102
745	0.2144904112
746	0.2144577059
747	0.2144101428
748	0.2142888182
749	0.2142024096
750	0.2141904793
751	0.214115961
752	0.2140185555
753	0.2139170083
754	0.2138693581
755	0.213733028
756	0.2136219933
757	0.2135153093
758	0.2134080001
759	0.2132677163
760	0.2131265339
761	0.2129452946
762	0.2128494827
763	0.2127623497
764	0.2127221162
765	0.2126145311
766	0.212526721
767	0.212483549
768	0.2123860435
769	0.2122273181
770	0.2121001014
771	0.2120481508
772	0.2120018469
773	0.2119674385
774	0.2118854496
775	0.211701171
776	0.2115894624
777	0.211495221
778	0.2113993214
779	0.2113786902
780	0.2112894867
781	0.2112662284
782	0.2112426824
783	0.2111475722
784	0.2110881964
785	0.2109946048
786	0.2109354635
787	0.210814414
788	0.2107862126
789	0.2106972212
790	0.2105670531
791	0.2105008872
792	0.2104510833
793	0.2104085651
794	0.2103076179
795	0.2102762218
796	0.2101895314
797	0.2101196938
798	0.2099804087
799	0.2098796903
800	0.2098421574
801	0.2097752437
802	0.209758732
803	0.2096383181
804	0.2095809093
805	0.2095585218
806	0.2094946767
807	0.2093296404
808	0.2091257928
809	0.2090661312
810	0.2089584419
811	0.2089175223
812	0.2088221149
813	0.2087981397
814	0.2087504396
815	0.2086400157
816	0.2085448507
817	0.2084871734
818	0.208315998
819	0.208249555
820	0.2082154063
821	0.2081522746
822	0.2080754178
823	0.208028378
824	0.2079335854
825	0.2078636907
826	0.2078103276
827	0.2077580121
828	0.2077409809
829	0.2076060449
830	0.2074826862
831	0.2074460531
832	0.2073933052
833	0.2073440659
834	0.2072335334
835	0.2070937925
836	0.2070660115
837	0.2068712351
838	0.2068232093
839	0.2068073575
840	0.2066664317
841	0.206602595
842	0.206542323
843	0.2064070254
844	0.2063578533
845	0.2062937517
846	0.2062197378
847	0.2061226886
848	0.2060512773
849	0.2059105657
850	0.2058199623
851	0.2057129004
852	0.205694288
853	0.2056128044
854	0.2055563331
855	0.2053946916
856	0.2053357056
857	0.2053058049
858	0.2052163315
859	0.2050709137
860	0.2049786674
861	0.2049409896
862	0.2048468207
863	0.2047547054
864	0.2047328007
865	0.2046595588
866	0.2046144921
867	0.2044324721
868	0.2043710171
869	0.2043187975
870	0.2042605559
871	0.204237079
872	0.2042100521
873	0.2041865345
874	0.204159543
875	0.20411977
876	0.2040142642
877	0.2037778421
878	0.2037473504
879	0.2036954075
880	0.2036782614
881	0.2035503162
882	0.2034920243
883	0.2034394892
884	0.2034153862
885	0.2033466542
886	0.2033079248
887	0.2032016262
888	0.2031083565
889	0.2029489308
890	0.2029287372
891	0.2028657669
892	0.2027191471
893	0.2026882391
894	0.202623284
895	0.2025659085
896	0.2024254442
897	0.2023510126
898	0.2021983559
899	0.2021535887
900	0.2019984592
901	0.2018799899
902	0.2016883863
903	0.2016075709
904	0.201443951
905	0.2014162149
906	0.2013195942
907	0.2012374101
908	0.2012049065
909	0.2011645258
910	0.201023183
911	0.200806085
912	0.2007346199
913	0.2006300748
914	0.2005586609
915	0.2004484079
916	0.2003463601
917	0.2002973844
918	0.2002688204
919	0.2001644386
920	0.2000496588
921	0.200023994
922	0.1998313152
923	0.199742208
924	0.1996786159
925	0.1996457822
926	0.1995791667
927	0.1995503054
928	0.199409862
929	0.1992958584
930	0.1992599243
931	0.1992410914
932	0.1991591436
933	0.19903894
934	0.1989470263
935	0.1988972157
936	0.1988269527
937	0.198781978
938	0.1986094694
939	0.1985164775
940	0.1985031611
941	0.1984268328
942	0.1983714261
943	0.1983201797
944	0.1982237527
945	0.1981348969
946	0.1981164853
947	0.1980229956
948	0.19790018
949	0.1978792731
950	0.1978029475
951	0.1977332503
952	0.1976342358
953	0.197567225
954	0.1974813958
955	0.19743951
956	0.1973619354
957	0.1972587313
958	0.1971452269
959	0.1971169109
960	0.1970242483
961	0.1969816497
962	0.1969296711
963	0.1967812428
964	0.1967457398
965	0.1967099525
966	0.1966469784
967	0.1965813421
968	0.1964918347
969	0.1964264361
970	0.1964004507
971	0.1963390618
972	0.1962846717
973	0.1962509348
974	0.1961299378
975	0.1960922371
976	0.1960046651
977	0.1959743273
978	0.1959322388
979	0.1958565303
980	0.1956439992
981	0.1954933427
982	0.1954119101
983	0.1954005657
984	0.1953465235
985	0.1952598918
986	0.1952490876
987	0.1952088613
988	0.1951634848
989	0.1951449663
990	0.1951060143
991	0.1950873824
992	0.1950436973
993	0.1949497343
994	0.1948949414
995	0.1948512206
996	0.1948112514
997	0.1947321972
998	0.1946938001
999	0.194582283
