iter	Passed	Remaining
407	4577	6641
408	4587	6628
409	4606	6628
410	4620	6622
411	4637	6619
412	4648	6607
413	4664	6602
414	4681	6599
415	4690	6585
416	4708	6582
417	4720	6572
418	4733	6563
419	4741	6548
420	4752	6535
421	4767	6529
422	4776	6515
423	4785	6501
424	4795	6487
425	4802	6471
426	4811	6456
427	4818	6439
428	4831	6430
429	4836	6411
430	4845	6397
431	4852	6380
432	4864	6370
433	4870	6352
434	4880	6339
435	4892	6329
436	4899	6311
437	4909	6299
438	4918	6284
439	4928	6273
440	4940	6262
441	4951	6250
442	4962	6239
443	4975	6230
444	4990	6223
445	4996	6206
446	5007	6195
447	5021	6187
448	5030	6173
449	5041	6161
450	5055	6153
451	5063	6139
452	5076	6129
453	5087	6118
454	5095	6103
455	5106	6092
456	5119	6083
457	5131	6072
458	5142	6061
459	5153	6049
460	5165	6040
461	5178	6029
462	5186	6015
463	5197	6003
464	5206	5990
465	5217	5978
466	5227	5966
467	5236	5952
468	5249	5943
469	5259	5930
470	5267	5915
471	5283	5909
472	5293	5897
473	5301	5882
474	5313	5872
475	5321	5858
476	5332	5846
477	5344	5835
478	5353	5822
479	5364	5811
480	5376	5801
481	5386	5788
482	5397	5777
483	5409	5767
484	5417	5753
485	5427	5740
486	5439	5729
487	5445	5713
488	5455	5700
489	5468	5692
490	5475	5675
491	5485	5663
492	5497	5653
493	5503	5636
494	5514	5625
495	5525	5614
496	5533	5600
497	5542	5587
498	5553	5575
499	5563	5563
500	5573	5551
501	5582	5537
502	5594	5527
503	5602	5513
504	5612	5501
505	5626	5493
506	5639	5483
507	5651	5473
508	5660	5460
509	5670	5448
510	5680	5435
511	5691	5424
512	5701	5412
513	5709	5398
514	5726	5393
515	5739	5383
516	5750	5371
517	5765	5364
518	5772	5349
519	5779	5335
520	5791	5324
521	5801	5312
522	5811	5300
523	5820	5287
524	5830	5275
525	5840	5262
526	5851	5252
527	5858	5237
528	5866	5223
529	5878	5213
530	5887	5199
531	5899	5189
532	5909	5177
533	5919	5165
534	5931	5155
535	5940	5142
536	5951	5131
537	5963	5120
538	5970	5106
539	5981	5095
540	5988	5080
541	5998	5068
542	6008	5057
543	6015	5042
544	6025	5030
545	6035	5018
546	6045	5006
547	6054	4994
548	6065	4982
549	6076	4971
550	6083	4957
551	6095	4947
552	6110	4939
553	6119	4926
554	6131	4915
555	6144	4906
556	6155	4895
557	6164	4883
558	6175	4871
559	6185	4859
560	6193	4846
561	6206	4836
562	6212	4822
563	6223	4811
564	6233	4799
565	6241	4785
566	6254	4776
567	6262	4762
568	6271	4750
569	6281	4738
570	6293	4728
571	6304	4717
572	6313	4705
573	6322	4692
574	6335	4683
575	6344	4670
576	6353	4658
577	6364	4646
578	6371	4632
